Shipping_No,Type_of_Transportation,Origin,Country_Of_Destination,Min_Mission_Started,Max_Mission_Ended,Max_Total_time_minutes,Max_Deviation_time_above8_minutes,Max_Deviation_time_above15_minutes,Max_Deviation_time_above25_minutes,Max_Deviation_time_below0_minutes
0000166026,Airfreight,DK,Japan,2016-01-12 11:52:01,2016-01-15 01:35:21,3728,208,118,0,0
0000166101,Airfreight,DK,Japan,2016-01-15 09:54:01,2016-01-26 00:37:38,15288,140,84,0,0
0000166189,Airfreight,DK,Japan,2016-01-19 09:57:01,2016-01-22 00:24:36,3768,128,58,0,620
0000166192,Airfreight,DK,Japan,2016-01-20 11:49:01,2016-01-25 01:22:21,6598,188,78,0,0
0000166443,Airfreight,DK,Japan,2016-02-02 11:41:01,2016-02-05 00:23:12,3668,98,48,0,0
0000166530,Airfreight,DK,Japan,2016-02-12 12:37:01,2016-02-16 22:44:56,6384,364,56,0,0
0000166531,Airfreight,DK,Japan,2016-02-23 10:37:01,2016-02-26 00:49:40,3748,148,78,0,0
0000166589,Airfreight,DK,Japan,2016-02-05 12:02:01,2016-02-16 00:28:24,15148,140,28,0,0
0000166644,Airfreight,DK,Japan,2016-02-09 10:52:01,2016-02-16 01:09:39,9518,178,78,0,0
0000166645,Airfreight,DK,Japan,2016-03-08 14:38:01,2016-03-15 02:07:53,9348,258,108,0,0
0000166677,Airfreight,DK,Japan,2016-03-01 09:52:01,2016-03-04 00:33:36,3778,168,88,0,0
0000166698,Airfreight,DK,Japan,2016-02-12 12:40:01,2016-02-16 23:14:46,6418,568,68,0,0
0000166790,Airfreight,DK,Japan,2016-02-17 13:18:01,2016-02-23 00:03:11,7868,68,48,0,0
0000166791,Airfreight,DK,Japan,2016-02-17 13:20:01,2016-02-23 00:02:39,7868,98,58,0,0
0000166793,Airfreight,DK,Japan,2016-03-08 14:29:01,2016-03-15 07:52:25,9708,198,98,0,0
0000166965,Airfreight,DK,Japan,2016-02-23 10:48:01,2016-02-26 01:02:52,3758,128,78,0,0
0000167103,Airfreight,DK,Japan,2016-03-31 11:42:01,2016-04-05 00:19:52,6524,588,28,0,0
0000167162,Airfreight,DK,Japan,2016-03-09 15:51:01,2016-03-15 23:54:12,9148,158,98,0,0
0000167210,Airfreight,DK,Japan,2016-03-18 12:56:01,2016-03-22 23:14:45,6398,98,48,0,0
0000167211,Airfreight,DK,Japan,2016-03-15 12:44:01,2016-03-17 23:51:48,3568,58,48,0,0
0000167236,Airfreight,DK,Japan,2016-04-01 06:52:01,2016-04-12 00:14:38,15468,648,38,0,0
0000167802,Airfreight,DK,Japan,2016-04-11 11:16:01,2016-04-14 00:09:01,3678,1288,338,0,0
0000167804,Airfreight,DK,Japan,2016-04-11 11:04:01,2016-04-15 00:47:54,5158,168,88,0,0
0000167974,Airfreight,DK,Japan,2016-05-09 14:49:01,2016-05-12 23:04:05,4838,1378,1158,80,0
0000168000,Airfreight,DK,Japan,2016-04-18 13:29:01,2016-04-22 00:12:57,4988,1328,198,0,0
0000168001,Airfreight,DK,Japan,2016-04-18 13:28:01,2016-04-22 00:14:46,4984,1372,84,0,0
0000168109,Airfreight,DK,Japan,2016-04-25 11:22:01,2016-04-28 01:20:03,3738,208,118,0,0
0000168283,Airfreight,DK,Japan,2016-05-09 14:44:01,2016-05-12 23:14:56,4858,98,48,0,0
0000168291,Airfreight,DK,Japan,2016-05-09 13:43:01,2016-05-13 00:51:10,5008,148,78,0,0
0000168321,Airfreight,DK,Canada,2016-05-12 07:54:01,2016-05-17 16:12:41,7718,78,28,0,0
0000168343,Airfreight,DK,Japan,2016-05-13 11:08:01,2016-05-20 01:20:49,9518,178,88,0,0
0000168345,Airfreight,DK,Japan,2016-05-13 10:57:01,2016-05-19 23:30:49,9418,128,68,0,0
0000168421,Airfreight,DK,Japan,2016-05-18 09:17:01,2016-05-24 00:19:11,8128,148,88,0,0
0000168687,Airfreight,DK,Japan,2016-06-01 08:20:01,2016-06-09 00:48:50,11088,248,148,0,0
0000168715,Airfreight,DK,Japan,2016-06-01 07:28:01,2016-06-06 23:44:05,8204,1372,364,0,0
0000168937,Airfreight,DK,Japan,2016-06-20 09:44:01,2016-06-22 23:08:44,3708,1368,528,0,0
0000169066,Airfreight,DK,Canada,2016-06-17 11:17:01,2016-06-23 16:15:24,8960,2996,980,0,0
0000169088,Airfreight,DK,Japan,2016-06-28 10:57:01,2016-07-05 23:36:25,10848,148,68,0,0
0000169247,Airfreight,DK,Canada,2016-07-01 11:05:01,2016-07-07 14:48:10,8888,58,28,0,0
0000169320,Airfreight,DK,Japan,2016-07-05 09:50:01,2016-07-12 01:01:43,9568,168,118,0,0
0000169390,Airfreight,DK,Japan,2016-07-14 09:14:01,2016-07-20 23:35:49,9528,1308,268,0,0
