Shipping_No,TT_Id,Type_of_Transportation,Origin,Country_Of_Destination,Mission_Started,Mission_Ended,Product,Total_time_minutes,Deviation_time_above8_minutes,Deviation_time_above15_minutes,Deviation_time_above25_minutes,Deviation_time_below0_minutes
0000166026,523485,Airfreight,DK,Japan,2016-01-12 11:52:01,2016-01-15 01:29:45,Norditropin 5+10mg,3718,108,48,0,0
0000166026,523487,Airfreight,DK,Japan,2016-01-12 11:52:01,2016-01-15 01:29:21,Norditropin 5+10mg,3718,138,58,0,0
0000166026,523489,Airfreight,DK,Japan,2016-01-12 11:53:01,2016-01-15 01:23:25,Norditropin 5+10mg,3718,138,98,0,0
0000166026,523491,Airfreight,DK,Japan,2016-01-12 11:53:01,2016-01-15 00:54:26,Norditropin 5+10mg,3688,138,68,0,0
0000166026,523493,Airfreight,DK,Japan,2016-01-12 11:53:01,2016-01-15 01:28:50,Norditropin 5+10mg,3718,158,68,0,0
0000166026,523495,Airfreight,DK,Japan,2016-01-12 11:53:01,2016-01-15 00:53:57,Norditropin 5+10mg,3688,158,78,0,0
0000166026,523497,Airfreight,DK,Japan,2016-01-12 11:53:01,2016-01-15 01:31:10,Norditropin 5+10mg,3718,178,68,0,0
0000166026,523499,Airfreight,DK,Japan,2016-01-12 11:53:01,2016-01-15 01:24:35,Norditropin 5+10mg,3718,178,98,0,0
0000166026,523501,Airfreight,DK,Japan,2016-01-12 11:53:01,2016-01-15 01:22:39,Norditropin 5+10mg,3708,148,88,0,0
0000166026,523503,Airfreight,DK,Japan,2016-01-12 11:54:01,2016-01-15 01:24:57,Norditropin 5+10mg,3718,158,98,0,0
0000166026,523505,Airfreight,DK,Japan,2016-01-12 11:54:01,2016-01-15 01:31:50,Norditropin 5+10mg,3718,128,58,0,0
0000166026,523507,Airfreight,DK,Japan,2016-01-12 11:54:01,2016-01-15 01:30:46,Norditropin 5+10mg,3718,138,48,0,0
0000166026,523509,Airfreight,DK,Japan,2016-01-12 11:54:01,2016-01-15 00:53:35,Norditropin 5+10mg,3678,88,48,0,0
0000166026,523511,Airfreight,DK,Japan,2016-01-12 11:54:01,2016-01-15 01:27:30,Norditropin 5+10mg,3718,158,58,0,0
0000166026,523513,Airfreight,DK,Japan,2016-01-12 11:54:01,2016-01-15 01:30:22,Norditropin 5+10mg,3718,168,68,0,0
0000166026,523515,Airfreight,DK,Japan,2016-01-12 11:54:01,2016-01-15 01:35:21,Norditropin 5+10mg,3728,198,78,0,0
0000166026,523517,Airfreight,DK,Japan,2016-01-12 11:54:01,2016-01-15 01:34:23,Norditropin 5+10mg,3728,198,78,0,0
0000166026,523519,Airfreight,DK,Japan,2016-01-12 11:55:01,2016-01-15 01:33:36,Norditropin 5+10mg,3718,198,78,0,0
0000166026,523521,Airfreight,DK,Japan,2016-01-12 11:55:01,2016-01-15 01:28:02,Norditropin 5+10mg,3718,188,78,0,0
0000166026,523523,Airfreight,DK,Japan,2016-01-12 11:55:01,2016-01-15 01:23:47,Norditropin 5+10mg,3708,168,98,0,0
0000166026,523525,Airfreight,DK,Japan,2016-01-12 11:55:01,2016-01-15 01:34:57,Norditropin 5+10mg,3728,188,78,0,0
0000166026,523527,Airfreight,DK,Japan,2016-01-12 11:55:01,2016-01-15 01:24:11,Norditropin 5+10mg,3708,148,88,0,0
0000166026,523529,Airfreight,DK,Japan,2016-01-12 11:55:01,2016-01-15 01:27:06,Norditropin 5+10mg,3718,138,68,0,0
0000166026,523531,Airfreight,DK,Japan,2016-01-12 11:56:01,2016-01-15 01:28:26,Norditropin 5+10mg,3718,118,48,0,0
0000166026,523533,Airfreight,DK,Japan,2016-01-12 11:56:01,2016-01-15 01:23:01,Norditropin 5+10mg,3708,108,78,0,0
0000166026,523535,Airfreight,DK,Japan,2016-01-12 11:56:01,2016-01-15 01:05:12,Norditropin 5+10mg,3688,108,58,0,0
0000166026,523537,Airfreight,DK,Japan,2016-01-12 11:56:01,2016-01-15 00:58:53,Norditropin 5+10mg,3688,138,68,0,0
0000166026,523539,Airfreight,DK,Japan,2016-01-12 11:56:01,2016-01-15 01:02:47,Norditropin 5+10mg,3688,128,68,0,0
0000166026,523541,Airfreight,DK,Japan,2016-01-12 11:56:01,2016-01-15 01:04:49,Norditropin 5+10mg,3688,128,78,0,0
0000166026,523543,Airfreight,DK,Japan,2016-01-12 11:56:01,2016-01-15 00:55:23,Norditropin 5+10mg,3678,128,78,0,0
0000166026,523545,Airfreight,DK,Japan,2016-01-12 11:57:01,2016-01-15 00:57:48,Norditropin 5+10mg,3688,138,68,0,0
0000166026,523547,Airfreight,DK,Japan,2016-01-12 11:57:01,2016-01-15 00:52:00,Norditropin 5+10mg,3678,138,68,0,0
0000166026,523549,Airfreight,DK,Japan,2016-01-12 11:57:01,2016-01-15 01:06:53,Norditropin 5+10mg,3698,148,88,0,0
0000166026,523551,Airfreight,DK,Japan,2016-01-12 11:57:01,2016-01-15 01:05:40,Norditropin 5+10mg,3688,128,68,0,0
0000166026,523553,Airfreight,DK,Japan,2016-01-12 11:57:01,2016-01-15 01:04:26,Norditropin 5+10mg,3688,108,58,0,0
0000166026,523555,Airfreight,DK,Japan,2016-01-12 11:57:01,2016-01-15 00:58:11,Norditropin 5+10mg,3688,108,48,0,0
0000166026,523557,Airfreight,DK,Japan,2016-01-12 11:57:01,2016-01-15 00:59:25,Norditropin 5+10mg,3688,88,48,0,0
0000166026,523559,Airfreight,DK,Japan,2016-01-12 11:58:01,2016-01-15 00:56:59,Norditropin 5+10mg,3678,88,48,0,0
0000166026,523561,Airfreight,DK,Japan,2016-01-12 11:58:01,2016-01-15 01:06:31,Norditropin 5+10mg,3688,88,58,0,0
0000166026,523563,Airfreight,DK,Japan,2016-01-12 11:58:01,2016-01-15 00:59:47,Norditropin 5+10mg,3688,118,58,0,0
0000166026,523565,Airfreight,DK,Japan,2016-01-12 11:58:01,2016-01-15 01:04:03,Norditropin 5+10mg,3688,138,78,0,0
0000166026,523567,Airfreight,DK,Japan,2016-01-12 11:58:01,2016-01-15 01:03:39,Norditropin 5+10mg,3688,148,78,0,0
0000166026,523569,Airfreight,DK,Japan,2016-01-12 11:58:01,2016-01-15 01:06:09,Norditropin 5+10mg,3688,148,68,0,0
0000166026,523571,Airfreight,DK,Japan,2016-01-12 11:58:01,2016-01-15 00:51:39,Norditropin 5+10mg,3678,148,68,0,0
0000166026,523573,Airfreight,DK,Japan,2016-01-12 11:59:01,2016-01-15 00:50:51,Norditropin 5+10mg,3678,158,68,0,0
0000166026,523575,Airfreight,DK,Japan,2016-01-12 11:59:01,2016-01-15 01:00:09,Norditropin 5+10mg,3688,148,68,0,0
0000166026,523577,Airfreight,DK,Japan,2016-01-12 11:59:01,2016-01-15 00:54:59,Norditropin 5+10mg,3678,128,68,0,0
0000166026,523579,Airfreight,DK,Japan,2016-01-12 11:59:01,2016-01-15 01:03:11,Norditropin 5+10mg,3688,128,58,0,0
0000166026,523581,Airfreight,DK,Japan,2016-01-12 11:59:01,2016-01-15 00:58:32,Norditropin 5+10mg,3678,108,48,0,0
0000166026,523583,Airfreight,DK,Japan,2016-01-12 11:59:01,2016-01-15 00:57:21,Norditropin 5+10mg,3678,98,38,0,0
0000166026,523585,Airfreight,DK,Japan,2016-01-12 11:59:01,2016-01-15 01:13:25,Norditropin 5+10mg,3698,128,48,0,0
0000166026,523587,Airfreight,DK,Japan,2016-01-12 12:00:01,2016-01-15 01:13:02,Norditropin 5+10mg,3698,158,78,0,0
0000166026,523589,Airfreight,DK,Japan,2016-01-12 12:00:01,2016-01-15 01:16:02,Norditropin 5+10mg,3688,158,98,0,0
0000166026,523591,Airfreight,DK,Japan,2016-01-12 12:00:01,2016-01-15 01:19:33,Norditropin 5+10mg,3698,178,88,0,0
0000166026,523593,Airfreight,DK,Japan,2016-01-12 12:00:01,2016-01-15 01:17:58,Norditropin 5+10mg,3698,188,118,0,0
0000166026,523595,Airfreight,DK,Japan,2016-01-12 12:00:01,2016-01-15 01:14:09,Norditropin 5+10mg,3698,198,98,0,0
0000166026,523597,Airfreight,DK,Japan,2016-01-12 12:00:01,2016-01-15 01:22:05,Norditropin 5+10mg,3708,208,108,0,0
0000166026,523599,Airfreight,DK,Japan,2016-01-12 12:00:01,2016-01-15 01:09:38,Norditropin 5+10mg,3688,178,98,0,0
0000166026,523601,Airfreight,DK,Japan,2016-01-12 12:00:01,2016-01-15 01:08:50,Norditropin 5+10mg,3688,158,78,0,0
0000166026,523603,Airfreight,DK,Japan,2016-01-12 12:01:01,2016-01-15 01:19:10,Norditropin 5+10mg,3698,168,68,0,0
0000166026,523605,Airfreight,DK,Japan,2016-01-12 12:01:01,2016-01-15 01:17:35,Norditropin 5+10mg,3698,118,78,0,0
0000166026,523607,Airfreight,DK,Japan,2016-01-12 12:01:01,2016-01-15 00:53:08,Norditropin 5+10mg,3678,118,38,0,0
0000166026,523609,Airfreight,DK,Japan,2016-01-12 12:01:01,2016-01-15 01:21:30,Norditropin 5+10mg,3708,118,48,0,0
0000166026,523611,Airfreight,DK,Japan,2016-01-12 12:01:01,2016-01-15 00:52:23,Norditropin 5+10mg,3678,128,58,0,0
0000166026,523613,Airfreight,DK,Japan,2016-01-12 12:01:01,2016-01-15 01:18:46,Norditropin 5+10mg,3698,148,68,0,0
0000166026,523615,Airfreight,DK,Japan,2016-01-12 12:01:01,2016-01-15 01:08:27,Norditropin 5+10mg,3688,148,88,0,0
0000166026,523617,Airfreight,DK,Japan,2016-01-12 12:01:01,2016-01-15 01:20:20,Norditropin 5+10mg,3698,168,98,0,0
0000166026,523619,Airfreight,DK,Japan,2016-01-12 12:02:01,2016-01-15 01:19:57,Norditropin 5+10mg,3698,168,98,0,0
0000166026,523621,Airfreight,DK,Japan,2016-01-12 12:02:01,2016-01-15 01:13:47,Norditropin 5+10mg,3698,158,98,0,0
0000166026,523623,Airfreight,DK,Japan,2016-01-12 12:02:01,2016-01-15 01:17:12,Norditropin 5+10mg,3698,168,88,0,0
0000166026,523625,Airfreight,DK,Japan,2016-01-12 12:02:01,2016-01-15 00:52:46,Norditropin 5+10mg,3678,138,68,0,0
0000166026,523627,Airfreight,DK,Japan,2016-01-12 12:02:01,2016-01-15 01:18:21,Norditropin 5+10mg,3698,128,58,0,0
0000166026,523629,Airfreight,DK,Japan,2016-01-12 12:02:01,2016-01-15 01:16:28,Norditropin 5+10mg,3698,128,68,0,0
0000166026,523631,Airfreight,DK,Japan,2016-01-12 12:02:01,2016-01-15 01:08:00,Norditropin 5+10mg,3688,88,48,0,0
0000166026,523633,Airfreight,DK,Japan,2016-01-12 12:03:01,2016-01-15 01:09:13,Norditropin 5+10mg,3688,88,48,0,0
0000166101,526813,Airfreight,DK,Japan,2016-01-15 09:54:01,2016-01-26 00:29:49,Victoza/Liraglutide,15288,112,28,0,0
0000166101,526815,Airfreight,DK,Japan,2016-01-15 09:54:01,2016-01-26 00:31:11,Victoza/Liraglutide,15288,56,28,0,0
0000166101,526817,Airfreight,DK,Japan,2016-01-15 09:54:01,2016-01-26 00:30:27,Victoza/Liraglutide,15288,84,28,0,0
0000166101,526819,Airfreight,DK,Japan,2016-01-15 09:54:01,2016-01-26 00:32:51,Victoza/Liraglutide,15288,112,84,0,0
